iter	Passed	Remaining
455	845	1008
456	846	1005
457	847	1003
458	848	1000
459	849	997
460	850	994
461	851	992
462	852	989
463	853	986
464	854	983
465	856	981
466	858	979
467	859	977
468	860	974
469	861	971
470	861	968
471	862	965
472	863	962
473	864	959
474	865	956
475	865	953
476	866	950
477	867	947
478	868	944
479	869	941
480	869	938
481	871	936
482	872	934
483	873	931
484	874	928
485	875	925
486	876	922
487	876	919
488	877	917
489	878	914
490	879	911
491	880	908
492	880	905
493	881	903
494	882	900
495	883	897
496	884	894
497	884	891
498	885	889
499	888	888
500	889	885
501	889	882
502	890	880
503	891	877
504	892	874
505	893	872
506	893	869
507	895	866
508	896	864
509	897	861
510	897	859
511	898	856
512	899	853
513	900	851
514	901	848
515	902	846
516	904	844
517	905	842
518	906	840
519	907	837
520	908	835
521	909	832
522	909	829
523	910	827
524	911	824
525	912	822
526	913	819
527	913	817
528	914	814
529	916	812
530	917	810
531	918	808
532	919	805
533	920	802
534	920	800
535	921	797
536	921	794
537	922	791
538	922	789
539	923	787
540	924	784
541	925	782
542	926	779
543	926	776
544	927	774
545	928	771
546	928	769
547	929	766
548	930	764
549	932	762
550	932	760
551	933	757
552	934	755
553	935	752
554	935	750
555	936	747
556	937	745
557	938	743
558	938	740
559	939	738
560	940	735
561	940	733
562	941	730
563	942	728
564	943	726
565	944	723
566	945	721
567	946	719
568	947	717
569	948	715
570	948	712
571	949	710
572	950	708
573	951	706
574	952	703
575	952	701
576	953	699
577	954	696
578	955	694
579	955	692
580	956	689
581	957	687
582	958	685
583	959	683
584	960	681
585	961	679
586	962	677
587	963	674
588	964	672
589	964	670
590	965	668
591	966	666
592	967	663
593	968	661
594	968	659
595	969	657
596	970	655
597	971	652
598	971	650
599	972	648
600	973	646
601	974	644
602	976	642
603	976	640
604	977	638
605	978	636
606	979	633
607	979	631
608	980	629
609	981	627
610	982	625
611	982	623
612	983	621
613	984	618
614	985	616
615	986	614
616	987	612
617	987	610
618	988	608
619	989	606
620	990	604
621	991	602
622	992	600
623	993	598
624	994	596
625	995	594
626	996	592
627	997	590
628	997	588
629	998	586
630	999	584
631	1000	582
632	1000	580
633	1001	578
634	1002	576
635	1003	574
636	1004	572
637	1005	570
638	1006	568
639	1007	566
640	1008	564
641	1009	562
642	1009	560
643	1010	558
644	1011	556
645	1011	554
646	1012	552
647	1013	550
648	1014	548
649	1014	546
650	1015	544
651	1016	542
652	1017	540
653	1017	538
654	1018	536
655	1019	534
656	1020	532
657	1022	531
658	1023	529
659	1023	527
660	1024	525
661	1025	523
662	1025	521
663	1026	519
664	1027	517
665	1028	515
666	1028	513
667	1029	511
668	1030	509
669	1030	507
670	1031	505
671	1032	503
672	1033	502
673	1035	500
674	1036	498
675	1037	497
676	1037	495
677	1038	493
678	1039	491
679	1040	489
680	1040	487
681	1041	485
682	1042	483
683	1043	481
684	1043	480
685	1044	478
686	1045	476
687	1045	474
688	1046	472
689	1047	470
690	1048	468
691	1050	467
692	1051	465
693	1052	463
694	1052	462
695	1053	460
696	1054	458
697	1055	456
698	1056	454
699	1057	453
700	1058	451
701	1059	449
702	1060	447
703	1061	446
704	1062	444
705	1063	442
706	1064	441
707	1066	439
708	1066	437
709	1067	436
710	1068	434
711	1069	432
712	1070	430
713	1071	429
714	1072	427
715	1073	425
716	1074	423
717	1075	422
718	1076	420
719	1077	419
720	1079	417
721	1081	416
722	1082	414
723	1084	413
724	1085	411
725	1087	410
726	1088	408
727	1090	407
728	1091	405
729	1093	404
730	1095	403
731	1097	401
732	1098	400
733	1099	398
734	1100	396
735	1102	395
736	1103	393
737	1104	392
738	1106	390
739	1108	389
740	1112	388
741	1114	387
742	1115	385
743	1116	384
744	1117	382
745	1119	381
746	1122	380
747	1124	378
748	1127	377
749	1129	376
750	1131	375
751	1132	373
752	1133	371
753	1138	371
754	1139	369
755	1142	368
756	1144	367
757	1145	365
758	1146	364
759	1147	362
760	1149	360
761	1154	360
762	1156	359
763	1158	357
764	1160	356
765	1161	354
766	1162	353
767	1163	351
768	1166	350
769	1168	348
770	1170	347
771	1171	345
772	1172	344
773	1174	342
774	1175	341
775	1176	339
776	1178	338
777	1182	337
778	1183	335
779	1186	334
780	1188	333
781	1190	331
782	1192	330
783	1196	329
784	1198	328
785	1200	326
786	1202	325
787	1203	323
788	1205	322
789	1208	321
790	1211	320
791	1215	319
792	1217	317
793	1219	316
794	1220	314
795	1222	313
796	1223	311
797	1230	311
798	1232	310
799	1234	308
800	1235	307
801	1237	305
802	1243	305
803	1247	304
804	1249	302
805	1250	301
806	1251	299
807	1253	297
808	1257	296
809	1259	295
810	1261	293
811	1263	292
812	1264	290
813	1266	289
814	1267	287
815	1272	286
816	1274	285
817	1276	283
818	1277	282
819	1278	280
820	1279	278
821	1280	277
822	1281	275
823	1283	274
824	1286	272
825	1288	271
826	1290	270
827	1292	268
828	1293	266
829	1294	265
830	1295	263
831	1299	262
832	1302	261
833	1304	259
834	1305	257
835	1306	256
836	1307	254
837	1309	253
838	1310	251
839	1311	249
840	1314	248
841	1316	247
842	1318	245
843	1319	243
844	1320	242
845	1322	240
846	1323	239
847	1324	237
848	1328	236
849	1331	234
850	1333	233
851	1334	231
852	1335	230
853	1337	228
854	1338	227
855	1340	225
856	1343	224
857	1346	222
858	1347	221
859	1349	219
860	1350	218
861	1352	216
862	1353	214
863	1354	213
864	1356	211
865	1360	210
866	1361	208
867	1363	207
868	1364	205
869	1365	204
870	1366	202
871	1369	201
872	1372	199
873	1375	198
874	1376	196
875	1378	195
876	1379	193
877	1381	191
878	1385	190
879	1387	189
880	1390	187
881	1391	186
882	1393	184
883	1394	182
884	1396	181
885	1398	179
886	1401	178
887	1403	177
888	1404	175
889	1406	173
890	1407	172
891	1408	170
892	1409	168
893	1411	167
894	1413	165
895	1416	164
896	1417	162
897	1418	161
898	1419	159
899	1421	157
900	1422	156
901	1423	154
902	1424	153
903	1426	151
904	1428	149
905	1430	148
906	1432	146
907	1433	145
908	1434	143
909	1435	141
910	1436	140
911	1437	138
912	1439	137
913	1442	135
914	1444	134
915	1446	132
916	1447	131
917	1448	129
918	1449	127
919	1451	126
920	1452	124
921	1453	122
922	1454	121
923	1457	119
924	1459	118
925	1460	116
926	1462	115
927	1463	113
928	1464	111
929	1465	110
930	1466	108
931	1467	107
932	1470	105
933	1472	104
934	1473	102
935	1475	100
936	1476	99
937	1477	97
938	1478	96
939	1480	94
940	1481	92
941	1485	91
942	1488	89
943	1489	88
944	1491	86
945	1492	85
946	1493	83
947	1495	82
948	1497	80
949	1500	78
950	1502	77
951	1504	75
952	1505	74
953	1507	72
954	1508	71
955	1509	69
956	1511	67
957	1513	66
958	1515	64
959	1517	63
960	1518	61
961	1520	60
962	1521	58
963	1522	56
964	1524	55
965	1525	53
966	1528	52
967	1530	50
968	1531	49
969	1533	47
970	1534	45
971	1535	44
972	1536	42
973	1537	41
974	1538	39
975	1540	37
976	1543	36
977	1545	34
978	1547	33
979	1548	31
980	1549	30
981	1550	28
982	1551	26
983	1553	25
984	1554	23
985	1557	22
986	1559	20
987	1560	18
988	1561	17
989	1562	15
990	1563	14
991	1564	12
992	1565	11
993	1566	9
994	1567	7
995	1568	6
996	1570	4
997	1571	3
998	1573	1
999	1573	0
